id,skill_name,icon_name,created_at
3b9ae27c-749b-48a5-9e43-8e2c94022f23,TypeScript,SiTypescript,2025-09-06 07:32:03.554936+00
406bd644-b1a9-4408-b8b8-8d130680e1b6,Turborepo,SiTurborepo,2025-09-06 07:32:03.554936+00
4416e590-6ea1-4768-be5b-f93af973c032,Strapi,SiStrapi,2025-09-06 07:32:03.554936+00
4a66d994-9fbb-414e-b6fa-c3bbd3bdd812,CSS,SiCss3,2025-09-06 07:32:03.554936+00
4b7a6c92-f5e6-4c42-869e-1d5f4ea9bbe8,Auth0,SiAuth0,2025-09-06 07:32:03.554936+00
4bc48682-8877-4477-97ec-4793f2b5792a,Ruby,SiRuby,2025-09-06 07:32:03.554936+00
4c1ba8c2-7d4a-4610-b157-2aed16a3d4f2,Nx,SiNx,2025-09-06 07:32:03.554936+00
4c630349-cf49-4e00-b614-aacfef646c3b,Photoshop,SiAdobephotoshop,2025-09-06 07:32:03.554936+00
4d740d7b-00bb-4982-944b-2891e9026d33,Mongoose,SiMongoose,2025-09-06 07:32:03.554936+00
4f6a412b-4140-46b9-9080-bc2a8e6d57e7,C++,SiCplusplus,2025-09-06 07:32:03.554936+00
50e62456-b114-4b08-b40a-09b5aa3c2ea9,Clerk,SiClerk,2025-09-06 07:32:03.554936+00
50eae2cd-3754-486f-912c-5896deeabb76,Material-UI,SiMui,2025-09-06 07:32:03.554936+00
56a18d0d-3f62-4848-b05f-fee66385379b,Sass,SiSass,2025-09-06 07:32:03.554936+00
57645950-32f2-45ea-81d6-a902790a1193,Express,SiExpress,2025-09-06 07:32:03.554936+00
5b2462d8-b85c-4cd7-a13c-6b0a026f2c7f,InVision,SiInvision,2025-09-06 07:32:03.554936+00
5ca47bad-a679-4b85-8471-701d5017e442,HTML Imports,SiWebcomponents,2025-09-06 07:32:03.554936+00
5ccee305-47e1-43b1-bef9-87028ddef540,Kotlin,SiKotlin,2025-09-06 07:32:03.554936+00
5e95ce9d-df39-4ad3-b8e3-6dcac3862818,Cypress,SiCypress,2025-09-06 07:32:03.554936+00
61486be3-2b12-4a25-bd22-94db3da4f6f9,Web Components,SiWebcomponents,2025-09-06 07:32:03.554936+00
62836b8c-7a0a-4f6f-86f3-b285c2118a70,Yarn,SiYarn,2025-09-06 07:32:03.554936+00
62ad8811-4975-4d42-a292-ff79e1dbf823,Trello,SiTrello,2025-09-06 07:32:03.554936+00
64efa1e4-1b36-4e29-8ce8-1ceb99eda619,NextAuth.js,SiNextdotjs,2025-09-06 07:32:03.554936+00
65ddef58-574d-4549-a379-8f41a8088978,PostgreSQL,SiPostgresql,2025-09-06 07:32:03.554936+00
67bb1a28-f6da-479f-9ace-86e9f3f5ccd3,C#,SiCsharp,2025-09-06 07:32:03.554936+00
682ffa75-d3e7-49e6-adaa-acaa3d972327,Android Studio,SiAndroidstudio,2025-09-06 07:32:03.554936+00
6a084d5a-a3d7-429e-bf84-acdd385c360e,Prometheus,SiPrometheus,2025-09-06 07:32:03.554936+00
6b2f4768-8cd1-478d-bebb-ba8cd263c908,Babel,SiBabel,2025-09-06 07:32:03.554936+00
6cc9ebd7-bcc5-4f8c-b1b3-467a176a2094,GraphQL Playground,SiGraphql,2025-09-06 07:32:03.554936+00
6e1796a2-5599-4684-a283-c9808c934d30,ES Modules,SiJavascript,2025-09-06 07:32:03.554936+00
6f180a2c-2ea4-409a-9dc9-0afe409c0245,Java,SiJava,2025-09-06 07:32:03.554936+00
70457888-bf36-4d15-9162-96c0cee8274d,Grafana,SiGrafana,2025-09-06 07:32:03.554936+00
70e00f37-eb55-48fa-bd48-61a3f07a5d9d,WebStorm,SiWebstorm,2025-09-06 07:32:03.554936+00
71c975d9-5316-4032-a64a-f19efd8ae96d,MySQL,SiMysql,2025-09-06 07:32:03.554936+00
71e002a8-4f70-4223-9e33-3a629f5e05fc,Firebase,SiFirebase,2025-09-06 07:32:03.554936+00
7387590b-0122-4a68-8e2e-2f3ea60485a2,Unreal Engine,SiUnrealengine,2025-09-06 07:32:03.554936+00
73e7058e-7079-4636-a039-9ad52a434e50,Laravel,SiLaravel,2025-09-06 07:32:03.554936+00
761fbe37-0c0b-4b2b-a63a-a392d0b9880c,Homebrew,SiHomebrew,2025-09-06 07:32:03.554936+00
